"[ 지스타에서 처음 공개되었던 전 블루홀], 긍정 텍스트 확률 : 65.41%"
"[아키에이지의 김경태등이 뭉쳐서 만드는 게임입니다. 그러다 보니 아키에이지 특유의 소셜], 긍정 텍스트 확률 : 59.85%"
"[생활 시스템들과], 긍정 텍스트 확률 : 52.01%"
"[아이온의 공중전투 등이 혼합되어 있는 것을 볼 수 있었죠. 와우 이후 들이 늘 그러하듯 진영을 나누어서 대립하는 이 핵심적인 콘텐츠이며], 긍정 텍스트 확률 : 78.05%"
"[공중 이동 수단과 전투가 핵심적이라는 게 포인트. ], 긍정 텍스트 확률 : 59.92%"
"[저는 가능하면 남캐를 하려고 애썼습니다. 다만. 저는 모든 를 해도 커스터마이징을 너무나도 못해서 거의 대부분 프리셋을 선택하고 거기서 머리 스타일이나 머리 색상 정도만 바꾸는 수준이에요. 뼈를 만지면 뭘 어찌해도 점점 더 괴물이 되더라고요. 여하튼. 에어 남캐들은 너무나도 여성향입니다. 제가 저렇게 생겼으면 좋겠지만. 저걸 제 아바타로 내세우기는 너무나도 소름 그 자체입니다. 모든 프리셋이 전부요. 엘프 남캐는 인간 남캐보단 남자 다운답게 생기긴 했고. 오크는 너무 개성 없이 그냥 몬스터 같고], 긍정 텍스트 확률 : 50.20%"
"[저는 무조건 방패가 있는 캐릭터가 있다면 무조건 방패를 씁니다. 무조건요. 여기서 제가 첫날 분 만에 게임을 끄게 된 이유가 나오는데. 저는 적어도 액션], 긍정 텍스트 확률 : 99.39%"
"[기본 조작에 있어서. 물론 전문가들이 열심히 생각하고 만든 것이었겠지만. 개인적으론 몇 가지 부분들이 이해 안 되는 부분들이 있었습니다. 기본적인 조작은 블레이드 앤 소울 같은 느낌입니다. 마우스로 항상 카메라를 조정할 수 있고 알트를 눌러 커서 전환], 긍정 텍스트 확률 : 89.37%"
"[달리기가 있지만 시프트가 아니라 ], 긍정 텍스트 확률 : 51.55%"
"[우선 게임을 시작하자마자 분도 안 돼서 나는 탈것을 줍니다. 와우가 처음 날탈을 탔을 때 오히려 지상 탈 것 보다 느렸던 것을 생각하면. 당연하게도 나는 탈것을 타면 속도감이 그리 좋지 못해서. 게임 공략에 있어서 답답함을 느낄 수도 있음. 거기다가 굳이 탈것 내리기 단축키가 있는데. 이건 아무래도 탈것을 타고 전투가 가능한 게임이다 보니 어쩔 수 없는 선택이지 않았나 싶긴 하지만 아이디어를 내자면 탈것에서 점프해서 내려오는 요시 점프 같은 모션이 있었다면 더 깔끔하지 않았을까. 탈것튼 상태에서 스킬 쓰면 오만 방정을 다 떨던데. 탈것을 내리는 조작에 관해선 나중에 조금 더 자세히 추가. ], 긍정 텍스트 확률 : 89.68%"
"[뭐 물론 탈것의 공중 조작도 그렇게 직관적이라고는 못합니다. 개인적으로 와우의 조작 방식이 가장 좋았어요. 제가 와우 빠돌이라서가 아닙니다.전진], 긍정 텍스트 확률 : 83.67%"
"[기본 이동 조작의 마지막 생각은. 캐릭터와], 긍정 텍스트 확률 : 58.48%"
"[첫날 워로드와], 긍정 텍스트 확률 : 63.39%"
"[그다음에는 피드백에도 전달한 이야기이지만. 워로드가 전술을 전환해서 철갑 전술 상태에서는 방패가 의미가 있게 되는데. 우 클릭이 선딜레이 후딜레이 없이 즉시], 긍정 텍스트 확률 : 76.56%"
"[전투의 방식은 거의 블레이드 앤 소울 느낌입니다. 소위 말하는 반타게팅이라고 하는 그 시스템 말이죠. 히트 박스 판정도 있고. 확정 타게팅 판정도 섞여 있는... 재미있게도 이게 적과 몬스터의 판정의 형태가 조금 다릅니다. 단순히 연타 공격이라서 그런 건지는 모르겠는데. 유저 공격의 타게팅만 되어 있다면 원거리 공격은 그냥 무조건 유도되어 히트가 되고. 워로드의 우 클릭 같은 연타 공격 같은 것도.], 긍정 텍스트 확률 : 97.65%"
"[우선 제 사양을 말씀드리면], 긍정 텍스트 확률 : 50.23%"
"[ 환경입니다. 제가 컴퓨터 사양이 그렇게 하이엔드는 아니지만. 최근 모든 게임들을 거의 울트라 까진 아니더라도 하이옵으로 대부분 돌리고 있지만. 차 베타를 안 해보긴 했지만. 많이 나아졌다고 하는데. 저한테는 여전히 프레임 드롭과. 프레임 유지는 불가능하더군요. 저는 애초에 정말 오래전부터 게임을 해온 세대여서 그런지 초당 프레임이어도 게임을 충분히 할 수 있을 정도의 둔감함을 가지고 있기 때문에. 뭐 충분히 플레이는 할만합니다. 하지만 한국 특유의. 특정 행위를 할 때마다 생기는 프리즈는 어쩔 수 없나 봅니다. 새로운 인터페이스. 새로운 몬스터], 긍정 텍스트 확률 : 99.52%"
"[새로운 애니메이션], 긍정 텍스트 확률 : 85.12%"
"[새로운 스킬], 긍정 텍스트 확률 : 68.91%"
"[새로운 이펙트], 긍정 텍스트 확률 : 68.91%"
"[.?블루홀블루홀.?크래프톤크래프톤.?.?.?.?에어에어.?.?베타베타.?워로드워로드.?클베클베.?클로즈베타클로즈베타 ], 긍정 텍스트 확률 : 57.88%"
"[장외주식의 타임입니다. 오늘 소개해드릴 종목은크래프톤 입니다. ], 긍정 텍스트 확률 : 91.20%"
"[.설립일], 긍정 텍스트 확률 : 58.04%"
"[ 크래프톤구 블루홀은 년 설립된 온라인 모바일게임 업체입니다.대표작은 테라와 배틀그라운드가 있으며 특히], 긍정 텍스트 확률 : 95.55%"
"[배틀그라운드는 년 런칭 후 전 세계적으로 명성을 얻으며컨퍼런스에 이름을 올렸습니다. 주식 현황은 보통주], 긍정 텍스트 확률 : 74.00%"
"[ 주 보유중입니다. 통일주권으로 계좌이체가 가능합니다. ], 긍정 텍스트 확률 : 61.35%"
"[ 스톡엘리와 함께하는 비상장주식장외주식 종목정보 ], 긍정 텍스트 확률 : 74.60%"
"[설립일], 긍정 텍스트 확률 : 65.51%"
"[직원수.], 긍정 텍스트 확률 : 61.92%"
"[안정성 평가면에서는 동종업종 평균보다 낮은 편이며상위에 포함됩니다. 성장성 점수는상위에 포함되며], 긍정 텍스트 확률 : 51.12%"
"[기업정보 제공 평가정보에서 .. 업데이트 되었습니다. ], 긍정 텍스트 확률 : 69.81%"
"[주식의 종류], 긍정 텍스트 확률 : 53.33%"
"[우선주 백만원 입니다. ], 긍정 텍스트 확률 : 55.09%"
"[사상최고가], 긍정 텍스트 확률 : 93.90%"
"[한국게임산업협회가 주관하고 부산정보산업진흥원과 지스타조직위원회가 주관하는 국내 최대 게임쇼 지스타 가 부산 벡스코에서 월 일부터 나흘간 개최된다.올해는 지스타 원년부터 빠지지 않고 참가했던 터줏대감 넥슨이 불참하게 되면서 그 빈자리에 대한 우려가 있었으나 모든 부스 입점은 완료된 상태. 지스타는 넥스타넥슨지스타의 합성어라는 별명으로 불리던 행사의 변화도 기대되는 부분이다. ], 긍정 텍스트 확률 : 69.06%"
"[ 지스타 주요 부스 평면도올해 가장 주목받는 업체로는 넷마블], 긍정 텍스트 확률 : 81.96%"
"[크래프톤펍지 등이 있다.넷마블은 세븐나이츠레볼루션], 긍정 텍스트 확률 : 83.42%"
"[매직마나스트라이크 등 종의 모바일 게임을 출품한다. 이 중 세븐나이츠레볼루션과 제의나라는 최초 공개하는 게임이다. 출품하는 모든 게임은 여석의 대규모 시연대가 마련해 직접 체험이 가능하며 모든 현장 행사는 유튜브 채널 및 페이스북을 통해 생중계될 예정이다.세븐나이츠레볼루션은 세븐나이츠 를 활용한 다중접속역할수행게임로 게이머는 세븐나이츠에 등장하는 여러 영웅의 무기를 사용하거나 게이머 자신이 직접 세븐나이츠 영웅으로 변신해 전투가 가능하다.제의나라는 레이튼 교수 시리즈로 유명한 레벨와 센과치히로의행방불명], 긍정 텍스트 확률 : 77.06%"
"[이웃집토토로를 제작한 스튜디오 지브리가 합작해 년 발매한 니노쿠니하얀 성회의 여왕의 모바일 버전으로 지브리 특유의 동화풍 작화를 모바일로 잘 살린 작품이다. ], 긍정 텍스트 확률 : 85.41%"
"[ 넷마블의 지스타 시연 타이틀 종 펄어비스는 가장 큰 규모인 부스에 자체 개발 중인 신작 종을 한꺼번에 발표한다.그 중 검은사막 세계관을 가진 후속작이라 불리는 붉은사막은 티저 페이지를 오픈하고 지스타 시작과 함께 트레일러를 공개할 예정이다. 섀도우아레나는 검은사막의 그림자 전장을 확장한 게임으로 최대 명까지 입장해 배틀로얄 룰로 전투를 벌이는 게임이다. 기존 배틀로얄류 게임가기반인데 반해 근접 전투가 핵심인 것이 최대 특징그 외에도 도깨비와 플랜을 공개하며], 긍정 텍스트 확률 : 85.52%"
"[최근 인수한 게임즈의 이브온라인 한글화 버전도 선보일 예정이다. ], 긍정 텍스트 확률 : 66.32%"
"[크래프톤펍지은 ”이라는 메시지를 슬로건 및 컨셉으로 기존 블루홀이 보여줬던 단일 회사 브랜드가 아닌 각자의 개성을 가진 게임 제작 스튜디오의 연합유니온으로서 의미를 전달하는데 초점을 맞췄다.크래프톤은 지스타 최초로 야외 전시장 개소를 확보해 부스를 선보이고], 긍정 텍스트 확률 : 67.54%"
"[한국증권금융은년 설립된 국내 유일의 증권금융 전담 회사로 증권을 담보로 금융투자업자에 자금을 대출해 주거나 투자자예탁금을 맡아 운용하는 등의 일을 하고 있으며 우리나라에서 유일하게 증권금융업무를 전문적으로 취급하는 한국증권금융은 증권시장에 자금과 증권을 공급하는 고유업무증권인수금융], 긍정 텍스트 확률 : 63.03%"
"[증권담보금융입니다.한국증권금융은증권시장에 자금을 공급하고 특정 업무를 수행하여 자본시장 발전에 기여함으로써 국가경제발전을 지원한다 는 목적 하에 설립되었으며 한국증권금융은 위와 같은 목적 하에 자본시장과 금융투자업에 관한 법률에 의거 금융위원회의 인가를 받은 상법상의 주식회사입니다. 증권투자자를 보호하기 위한 투자자예탁금 관리], 긍정 텍스트 확률 : 89.87%"
"[근로자의 재산형성과], 긍정 텍스트 확률 : 53.33%"
"[회사에 대한 주인의식 고취를 지원하는 우리사주제도 지원하며 일반고객의 재테크를 돕는 예금 및 대출업무에 이르기까지 다양한 금융업무를 취급하며대한민국 유일의 증권금융업무 전담기관으로써 지난 년 설립 이래 증권사와 증권투자자에 대하여 거래에 필요한 자금과 증권을 공급하고 관련 서비스를 제공하여 자본시장의 활성화에 기여하여왔습니다.급격한 금융환경의 변화 속에서도 증권투자자 자금의 안정적 관리], 긍정 텍스트 확률 : 90.22%"
"[우리사주제도 지원], 긍정 텍스트 확률 : 73.24%"
"[긴급유동성 지원 등을 통해 시장과 투자자를 지키는 굳건한 버팀목으로서 자리하여 오고 있으며 앞으로도 한국증권금융은 금융투자산업 발전을 위해 시장참여자와의 소통 확대를 통한 상생경영을 실천하는 한편], 긍정 텍스트 확률 : 99.45%"
"[차별화 된 종합 증권서비스를 통해 시장과 투자자의 신뢰와 사랑을 지키기 위한 최선의 노력을 다하겠습니다. ], 긍정 텍스트 확률 : 69.53%"
"[더 나아가 증권시장의 안정과 발전을 지원합니다. 증시성장의 초석], 긍정 텍스트 확률 : 77.24%"
"[한국증권금융의 탄생 년대 전후 경제복구를 위한 산업자본 조달창구로서 자본시장의 역할이 절실한 가운데 당시 증권업계의 자금난 해소와 증권거래소 설립자금 마련을 위한 방편으로 증권업협회 회원 출자방식에 의해 증권금융회사의 설립이 추진되었습니다. ], 긍정 텍스트 확률 : 93.29%"
"[ 년 증권시장에 자금을 공급하고 특정업무를 수행하여 자본시장 발전에 기여함으로써 국가 경제발전을 지원정관 제조하기 위해 한국증권금융이 탄생 년 증권거래법의 제정과 더불어 증권거래법상의 증권금융회사로 법제화 현재 「자본시장과 금융투자업에 관한 법률제조」에 의해 금융위원회로부터 증권금융업의 인가를 받은 상법상의 주식회사 ], 긍정 텍스트 확률 : 96.72%"
"[ 한국포스증권 지분 인수한국증권금융은펀드온라인코리아 인수를 매듭짓고 사명을 사명 관련 규정들이 있어 이를 고려해 소비자들에게 쉽게 기억되는 사명으로 한국포스증권으로 변경하였습니다. 한국증권금융은지난해 월 한국포스증권 경영권 인수를 위한 우선협상대상자로 선정된 이후 금융당국의 승인 절차를 진행했고 지난해 월 일 금융위원회로부터 한국포스증권 인수를 위한 최종 승인을 받은 뒤 일 임시주주총회를 열어 억원 규모의 유상증자에 참여하며 인수를 완료했습니다. 이로써 한국증권금융은 한국포스증권 지분 .를 확보하며 최대주주로 올라섰고], 긍정 텍스트 확률 : 91.23%"
"[신재영 전 부사장이 한국포스증권펀드온라인코리아 신임 대표로 선임되었으며 사명인 포스는 펀드온라인세이프서비스 의 약자로 정체성을 재정립하고], 긍정 텍스트 확률 : 53.70%"
"[사업영역을 넓히기 위해 증권을 사명에 넣었습니다.한국증권금융은한국포스증권 펀드시장 패러다임 전환을 선도해 자본시장 핀테크산업의 롤모델을 제시할 수 있도록 적극 지원할 계획이며 투자자가 쉽게 접근해 자신에게 꼭 맞는 펀드를 구매할 수 있도록 큐레이션 기능을 강화한 혁신적 펀드판매 플랫폼을 제시할 계획입니다. 한국증권금융은 소비자들의 접근성 강화 방안으로 인공지능과 빅데이터 기술을 활용한 자문서비스를 제공하고], 긍정 텍스트 확률 : 85.93%"
"[펀드슈퍼마켓의 사용자환경과 사용자경험도 다듬고 포즈증권은 한국증권금융이란 든든한 대주주가 있는 만큼 자본금 걱정에서 벗어나 서비스 혁신을 이룰 수 있게 되었습니다. ], 긍정 텍스트 확률 : 86.51%"
"[ 현대삼호중공업은 년 설립되어 년 현대중공업그룹에 편입된 현대중공업그룹에 편입된 강선 건조업체로 주요 사업은 선박의 건조], 긍정 텍스트 확률 : 81.14%"
"[해철 및 부품의 제조와 판매], 긍정 텍스트 확률 : 67.78%"
"[크레인 자동차 설비의 제조와 판매 등이빈다.현대삼호중공업은년 착공한 삼호조선소를 기반으로 년 월 중공업주을 설립하였고 년 월 삼호중공업주으로 상호를 변경하고 현대중공업주에서 자산·부채를 인수], 긍정 텍스트 확률 : 80.19%"
"[위탁경영하였습니다. 년 월 한국능률협회에 의해서 기업경영개선 우수기업상을 수상하였고], 긍정 텍스트 확률 : 85.08%"
"[월 현대중공업주이 삼호중공업주의 주식을인수함으로써 년 개월의 위탁경영을 종료하고 현대중공업그룹에 편입되어 년 월 현재의 상호로 변경하였으며 년 무역의 날 억불 수출의 탑을 수상하였고 년 자체 제작한 선박 종이 세계일류상품에 선정되었습니다.], 긍정 텍스트 확률 : 99.77%"
"[ 세계 위 규모의 선박 생산능력현대삼호중공업은전남 영암군 삼호읍 일대 만㎡ 부지에 세계 위 규모의 선박 생산능력을 보유하고 있고], 긍정 텍스트 확률 : 92.87%"
"[도전과 혁신으로 조선해양산업의 새로운 강자로 떠오르고 있으며 조선해양분야 세계 최고의 기업인 현대중공업 그룹사로 영업과 기술개발], 긍정 텍스트 확률 : 99.11%"
"[시너지효과를 극대화함으로써 세계 조선해양산업을 선도하고 있습니다. 세계 굴지의 오일메이저를 비롯한 국내외 유명 선주사에 연간 여척의 선박을 인도하고 있으며], 긍정 텍스트 확률 : 69.22%"
"[자동차운반선], 긍정 텍스트 확률 : 56.74%"
"[벌커 등 거의 모든 상선에 대해 건조 실적을 확보해 고객이 원하는 어떠한 선박도 성공적으로 건조할 수 있는 준비가 되어 있습니다. 최근 사업구조 고도화를 위해 ], 긍정 텍스트 확률 : 98.39%"
"[반잠수식시추선 등 다양한 해양플랜트사업에 적극 나서고 있으며], 긍정 텍스트 확률 : 59.79%"
"[창조적 혁신을 통해 기업경쟁력을 강화해 세계 최고의 경쟁력을 갖춘 종합 중공업기업으로 도약을 꿈꾸고 있으며], 긍정 텍스트 확률 : 88.21%"
"[국가와 지역사회 발전에 일익을 담당하는 회사로 성장하기 위해 노력하고 있습니다. ], 긍정 텍스트 확률 : 86.49%"
"[기의 골리앗크레인과 기의 지브크레인을 현장 곳곳에 설치해 블록의 대형화와 세부 공정지원을 강화], 긍정 텍스트 확률 : 61.07%"
"[최고 품질의 선박을 건조하고 있습니다. 공정 곳곳에 로봇용접기를 투입해 자동화율을 높이며 선박건조 과정에 디지털과 스마트 기술을 적극 도입해 생산성을 높이고 현대삼호중공업의 차세대 설계시스템인은 영국의 사의 제품으로 년 도입하였습으며 은 기존 기반의 설계시스템을 한층 업그레이드하여 최적화된 기반의 선박모델링을 지원하고 있습니다. ], 긍정 텍스트 확률 : 86.48%"
"[ 산업설비사업현대삼호중공업은 년 월 일부로 현대중공업에서 운반설비 사업을 인수해 새롭게 출발했으며 년 현대중공업 출범과 함께 시작하여 년이상 수많은 크레인과 운반설비를 제작], 긍정 텍스트 확률 : 94.78%"
"[납품해 세계 시장에서 품질의 우수성을 인정받고 있습니다. 또한], 긍정 텍스트 확률 : 78.05%"
"[기본설계에서 생산설계까지 축적된 기술력과 노하우를 보유 하고 있으며 지난 년부터 해양수산부와 공동으로 컨테이너 터미널 자동화 시스템 개발에 착수하여 년말 개발을 완료하고 시제품 운전까지 성공적으로 마쳐 국내업체로는 최초로 자동화터미널 시스템 및 장비 개발에 성공하게 되었습니다.], 긍정 텍스트 확률 : 85.21%"
"[사업구조 고도화에 적극 나서고 있으며 이미 지난 년 현대중공업과 공동으로 만톤급 부유식원유생산저장하역설비를 성공적으로 건조해 인도한 바 있으며], 긍정 텍스트 확률 : 90.65%"
"[년 월에는 반잠수식시추선을 독자 수주해 해양사업을 본격 추진하고 있습니다. 또한 및 해양구조물 등 다양한 해양플랜트 분야로 사업영역을 확장해가고 있으며 미래 성장동력 확보를 위해 해양플랜트 관련 기술개발과 인재육성에 만전을 기하고 있으며], 긍정 텍스트 확률 : 61.30%"
"[그 결과 와 극심해용 드릴십의 건조 능력을 확보하였습니다. ], 긍정 텍스트 확률 : 79.06%"
"[ 세계 최고의 건조 실적 및 수주물량 확보현대삼호중공업이러시아 소브콤플로트사로부터 수주해 인도한 만 천톤급 원유운반선이 차세대 선박상 ’을 수상했으며 노르웨이 오슬로에서 열린 세계적인 선박박람회인 노르쉬핑 ’ 행사에서 열렸으며], 긍정 텍스트 확률 : 99.80%"
"[설계 능력 등을 대외적으로 검증받은 것으로 생각하고 있습니다. 현대삼호중공업은선박분야에서 세계 최고의 건조 실적과 수주물량을 확보하며 친환경선박 분야를 선도하고 현재], 긍정 텍스트 확률 : 95.75%"
"[추진선 수주잔량으로 ], 긍정 텍스트 확률 : 74.74%"
"[이들 선박은 년까지 모두 인도될 예정입니다 ], 긍정 텍스트 확률 : 90.98%"
"[ 크래프톤은중세 유럽 장인들의 연합을 가리키는 크래프트 길드 에서 착안되었으며 명작 게임 제작에 대한 장인정신과 실패를 두려워하지 않는 개발자의 끊임없는 도전을 내포하고 게임 제작의 명가를 향한 변함 없는 마음과 도전 정신으로 게임 개발에 임할 것입니다. 크래프톤은년 게임개발사 블루홀스튜디오를 설립하였으며 박용현 전 엔씨소프트 개발실장과 만남이 계기가 돼 게임회사를 차리게 됐고 네오위즈 시절 인연을 맺은 김강석 대표에게 를 맡겼고 인터넷 서비스보다 게임 서비스가 글로벌 공략이 쉬울 것이라는 예상도 게임회사 창업의 이유가 되었습니다. 블루홀스튜디오는 신생회사임에도 장병규 등 구성원의 명성에 걸맞게 대작 다중접속 역할수행게임개발에 나섰으며 개발비 억 원], 긍정 텍스트 확률 : 97.13%"
"[연인원 여 명이 투입돼 년 테라를 선보였고 그해 대한민국 게임대상 관왕을 수상하였습니다. ], 긍정 텍스트 확률 : 64.56%"
"[블루홀 →크래프톤 블루홀은 회사명을“크래프톤”으로변경하였으며 현재의 연합 체계에서 각 스튜디오를 책임지는 제작 리더십이 독립적으로 게임을 개발하며 개발 스튜디오 간 시너지를 만들어 나갈 예정이며 크래프톤은 더 많은 신규 개발팀이 펍지], 긍정 텍스트 확률 : 50.20%"
"[딜루젼과 같은 산하 스튜디오로 성장할 수 있도록 돕는 역할을 맡습니다.크래프톤대표 김효섭연합이 각개전투식 사업체제 속 연합 시너지 효과 극대화로 체력다지기에 집중하고 있으며 크래프톤은 자회사 펍지의 배틀그라운드’ 흥행에 힘입어 지난해 매출 조 원 돌파를 이뤄냈습니다.], 긍정 텍스트 확률 : 88.06%"
"[ 글로벌 시장 출시 크래프톤은올해 신규 게임을 잇따라 출시하는 한편 연합사 간 신작을 지원사격하며 배틀그라운드’ 외 새로운 매출원 확보에 주력하고 있으며 최근 캐주얼 모바일게임 탭탭플라자’를 글로벌 시장에 출시했고 크래프톤의 오셀롯 랩이 개발한 탭탭플라자’는 유저가 쇼핑몰 경영자가 돼 세계 최고의 쇼핑몰을 만들어 가는 게임입니다. 탭탭플라자’의 퍼블리싱을 맡은 곳은 크래프톤 연합사 피닉스로 피닉스는 앞서 월 자사가 개발한 모바일 전략형 슈팅 아케이드게임 보우맥스’를 글로벌 시장에 선보인데 이어 이번 탭탭플라자’ 서비스도 담당하게 되었으며피닉스는 크래프톤이 모바일게임 사업 다각화를 위해 년 인수한 게임사로], 긍정 텍스트 확률 : 99.93%"
"[미스트오버 출시 예정크래프톤은자체 플랫폼 사업 확장도 지속하고 있으며 온라인게임 테라’의 콘솔 버전을 지난달 한국과 아시아 시장에 선보였고 자체 개발한 로그라이크 역할수행게임 미스트오버’는 월 닌텐도 스위치 버전과 게임 플랫폼인 스팀 버전으로 출시 예정입니다.크래프톤은다중접속역할수행게임 에어’도 출시 담금질이 한창이며 크래프톤 연합이 따로 또 같이’를 모토로 사업을 전개해나가면서 제의 배틀그라운드’ 탄생 기대감도 높아지고 있으며 년 인수한 펍지구 블루홀지노게임즈와의 합병을 년 시도했다가 철회한 바 있으며 펍지를 독립법인으로 남기는 것이 양사의 사업성 극대화와 운영 효율화에 도움이 될 것이란 판단에서입니다. ], 긍정 텍스트 확률 : 99.96%"
"[기업가치 조원 이상펍지는 이후 배틀그라운드’ 개발로 크래프톤을 기업가치 조 원 이상의 유니콘 기업’ 반열에 올려놨고 배틀그라운드’는 년 월 스팀 출시 당시 흥행몰이에 성공하며 가장 빠르게 억 달러 수익을 올린 스팀 얼리액세스 게임’을 포함해 기네스북 개 부문에 등재됐습니다. 크래프톤은배틀그라운드’ 효과로 지난해 연결기준 매출액이 년 사이 . 성장한 조억 원을 기록했고], 긍정 텍스트 확률 : 86.84%"
"[ . 더 많은 정보를 공유하고 싶을때.모바일에서 함께 하신다면 전화번호 클릭하세욤 .바로 전화연결된답니다..], 긍정 텍스트 확률 : 80.81%"
"[ 주크래프톤은 임시주주총회를 열고 블로홀에서 크래프톤으로회사명을 변경하였습니다.크래프톤은 연합브랜드와 사명을 변경을 도약의 계기로 삼고국내외 우수한 개발사를 연합에 합류시키고글로벌 시장에서 브랜드 경쟁력을 강화할 계획이라고 합니다.크래프톤제작 라인개발사], 긍정 텍스트 확률 : 55.31%"
"[ 스튜디오 등 간의게임연합 체계를 가지고 있어 협업을 통해 시너지를 키우고 우수한 인재를 확보해 따로 또 같이 성장하는 것을 지향하며], 긍정 텍스트 확률 : 60.52%"
"[ 게임제작 명가로서 제작라인 간의 독립성과 시너지를 강화하고글로벌 시장에서 경쟁력을 구축하는 구심점으로 새로운 브랜드를 선보였습니다. ], 긍정 텍스트 확률 : 62.50%"
"[ 국내 게임사 중 넥슨], 긍정 텍스트 확률 : 52.88%"
"[ 크래프톤이 테라플레이스테이션버전을 월 일 아시아 지역한국], 긍정 텍스트 확률 : 72.52%"
"[ 전 세계 만 유저를 보유하고 있습니다. ], 긍정 텍스트 확률 : 77.93%"
"[ ■ 크래프톤 기업 개요 ■액면가 원총 발행주식 수 ..주 ], 긍정 텍스트 확률 : 85.39%"
"[테라의 개발사크래프톤 구], 긍정 텍스트 확률 : 84.19%"
"[ 블루홀 포스팅 할게요크래프톤은 년 배틀그라운드 출시 후가장 빠르게 억달러 수익을 올린 스팀 얼리액세스 게임 등기네스북 세계기록 개 부문에 등재되는 기록크래프톤은 한때 장외주식 거래가 기준 기업가치가 조원에 육박], 긍정 텍스트 확률 : 77.18%"
"[직원수], 긍정 텍스트 확률 : 70.07%"
"[케이알파트너스], 긍정 텍스트 확률 : 71.16%"
"[케이이티이], 긍정 텍스트 확률 : 64.72%"
"[ .크래프톤주식], 긍정 텍스트 확률 : 57.68%"
"[ .크래프톤주식시세], 긍정 텍스트 확률 : 57.68%"
"[설립일], 긍정 텍스트 확률 : 65.51%"
"[직원수], 긍정 텍스트 확률 : 70.07%"
"[ 크래프톤은 년 배틀그라운드 출시 후 가장 빠르게 억 달러 수익을 올린 스팀 얼리엑서스 게임 등기네스북 세계기록 개 부문에 등재되어 있습니다.크래프톤의 장외주식 기업가치는 한 때 약 조 원에 육박하여 게임업계최대어로 부상했었습니다.크래프톤은 년 게임개발사 블루홀스튜디오를 설립하였습니다. ], 긍정 텍스트 확률 : 89.30%"
"[ ........박용현 전 엔씨소프트 개발실장과의 만남이 계기가 되어 게임회사를 차리게 되었고 네오위즈 시절 인연을 맺은김강석 대표에게 를 맡겼는데요], 긍정 텍스트 확률 : 89.57%"
"[연인원 여 명이 투입되어 년 테라를 선보였고 그해 대한민국게임대상 관왕을 수상하였습니다. ], 긍정 텍스트 확률 : 80.45%"
"[딜루젼과 같은 산하 스튜디오로 성장할 수 있도록 돕는 역할을 맡았습니다.크래프톤대표 김효섭 연합이 각개전투식 사업체제 속 연합 시너지 효과 극대화로 체력 다지기에 집중하고 있으며 크래프톤은 자회사 펍지의 배틀그라운드 흥행에 힘입어 지난 해 매출 조 원 돌파를 이루었습니다. ], 긍정 텍스트 확률 : 90.85%"
"[ ........크래프톤은 올해 신규 게임을 잇따라 출시하는 한편 연합사 간 신작을 지원사격하며 배틀그라운드 외 새로운매출원 확보에 주력하고 있으며 최근 캐주얼 모바일게임 탭탭플라자를 글로벌 시장에 출시했습니다. 크래프톤의 오셀롯 랩이 개발한 탭탭플라자는 유저가 쇼핑몰 경영자가 되어 세계 최고의 쇼핑몰을 만들어가는 게임입니다. ], 긍정 텍스트 확률 : 99.52%"
"[ .... 탭탭플라자의 퍼블리싱을 맡은 곳은 크래프톤 연합사 피닉스로 피닉스는 앞서 월 자사가 개발한 모바일 전략형 슈팅 아케이드게임 보우맥스를 글로벌 시장에 선보인데 이어 이번 탭탭플라자 서비스도 담당하게 되었습니다. ], 긍정 텍스트 확률 : 92.04%"
"[대장은 누구?? 국제게임전시회 지스타개막이 일 안으로 다가왔다. 매년 최다 관객기록을 경신하며 화제의 중심에 섰던 지스타. 올해도 대학수학능력시험수능일인 월일 개막을 시작으로 부산 벡스코 전시장에서 일간의 대장정에 돌입한다. 지스타는 매년 독특한 콘셉트와 트렌드로 주목받았지만 올해는 개막 전부터 스포트라이트’를 받았다. 지난해까지 년간 개근한 넥슨이 올해 지스타 불참을 선언하면서 행사의 최대변수로 떠올랐다. 축제의 꽃’으로 불리는 메인스폰서도 쉽게 점쳐지지 않아 축제의 주도권을 누가 가져갈지 관심이 집중된다. 중략크래프톤은 복병으로 꼽힌다. 테라’ 와 배틀그라운드’를 손에 쥔 크래프톤은 앞으로 선보일 신작이 다양하다. 온라인에어’를 필두로 로그라이크 역할수행게임장르의 미스트오버’를 닌텐도 스위치와 스팀 플랫폼에 출시할 계획이다. 지난해 지스타에서 크래프톤 브랜드 알리기에 집중한 만큼 올해는부스를 통해 관람객과 만날 것으로 예상된다. ], 긍정 텍스트 확률 : 89.69%"
"[. .?게임게임.?모바일모바일.?소셜소셜.?글로벌글로벌.?미니라이프미니라이프.?아바타아바타...미니라이프 소셜 아바타 월드..멋진 아바타 소셜 세상], 긍정 텍스트 확률 : 94.82%"
"[집과 정원 꾸미기 등 다양한 컨텐츠들이 기다리고 있어요 감성 가득한 가상 세계에서 커뮤니티에 참여하고 즐거운 시간을 보내요. 지금], 긍정 텍스트 확률 : 99.91%"
